,Unnamed: 0,id,text,analysis,pos
0,0,2,А,"[{'text': 'А', 'analysis': [{'wt': 0.011249589729999999, 'lex': 'а', 'gr': 'PART='}]}]",DACTYL
1,1,3,Б,"[{'text': 'Б', 'analysis': [{'wt': 0.9980299473, 'lex': 'б', 'gr': 'PART='}]}]",DACTYL
2,2,4,В,"[{'text': 'В', 'analysis': [{'wt': 8.212236024999999e-06, 'lex': 'в', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
3,3,5,Г,"[{'text': 'Г', 'analysis': [{'wt': 1, 'lex': 'г', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
4,4,6,Д,"[{'text': 'Д', 'analysis': [{'wt': 1, 'lex': 'д', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
5,5,7,Е,"[{'text': 'Е', 'analysis': [{'wt': 1, 'lex': 'е', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
6,6,8,Ё,"[{'text': 'Ё', 'analysis': [{'wt': 1, 'lex': 'е', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
7,7,9,Ж,"[{'text': 'Ж', 'analysis': [{'wt': 0.9757629633, 'lex': 'ж', 'gr': 'PART='}]}]",DACTYL
8,8,10,З,"[{'text': 'З', 'analysis': [{'wt': 1, 'lex': 'з', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
9,9,11,И,"[{'text': 'И', 'analysis': [{'wt': 6.37957055e-06, 'lex': 'и', 'gr': 'PART='}]}]",DACTYL
10,10,12,Й,"[{'text': 'Й', 'analysis': [{'wt': 1, 'lex': 'й', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
11,11,13,К,"[{'text': 'К', 'analysis': [{'wt': 4.4820240870000006e-05, 'lex': 'к', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
12,12,14,Л,"[{'text': 'Л', 'analysis': [{'wt': 1, 'lex': 'л', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
13,13,15,М,"[{'text': 'М', 'analysis': [{'wt': 1, 'lex': 'м', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
14,14,16,Н,"[{'text': 'Н', 'analysis': [{'wt': 1, 'lex': 'н', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
15,15,17,О,"[{'text': 'О', 'analysis': [{'wt': 0.02613852173, 'lex': 'о', 'gr': 'INTJ='}]}]",DACTYL
16,16,18,П,"[{'text': 'П', 'analysis': [{'wt': 1, 'lex': 'п', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
17,17,19,Р,"[{'text': 'Р', 'analysis': [{'wt': 1, 'lex': 'р', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
18,18,20,С,"[{'text': 'С', 'analysis': [{'wt': 2.2169018850000002e-05, 'lex': 'с', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
19,19,21,Т,"[{'text': 'Т', 'analysis': [{'wt': 1, 'lex': 'т', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
20,20,22,У,"[{'text': 'У', 'analysis': [{'wt': 5.56044979e-05, 'lex': 'у', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
21,21,23,Ф,"[{'text': 'Ф', 'analysis': [{'wt': 1, 'lex': 'ф', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
22,22,24,Х,"[{'text': 'Х', 'analysis': [{'wt': 1, 'lex': 'х', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
23,23,25,Ц,"[{'text': 'Ц', 'analysis': [{'wt': 1, 'lex': 'ц', 'gr': 'S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)'}]}]",DACTYL
