Russian	Predicted	Truth
а когда дед мороз вернуться домой маленький дед мороз приходить к главный и сказать а я то вон в лес тоже подарок раздавать	вернуться маленький приходить сказать то я дед мороз раздавать домой глав	indx дед.мороз clf clf.группа clf.переместить домой clf clf.группа clf.переместить дед.мороз маленький встретить приходить обращение главный 1ps был лес подарок clf clf.перечислять
а мачеха лишать я весь радость	лишать радость весь я весь матч фехха	мама второй 3ps все радость давать 1ps ноль
зачем я хотеть изменять свой привычка тратить и начинать копить	начинать свой тратить изменять хотеть я копить привычка	зачем желание изменение все4 привычка тратить все4 желание именение привычка свой изменение тратить и копить думать
оказываться впервые это появляться в америка	появляться оказываться впервые америка это	америка есть poss 3ps 3ps рассказ 1ps интересный америка первый прогресс
я вчера не стирать белье	стирать я вчера белье	1ps вчера стирать <dact> не был
она один за другой скидывать с себя туфля и прямо в один чулок подходить к дверь и у я от радость заколотиться сердце	сердце подходить один я сердце радость туфля один она дверь один	обувь2 убирать чулок бродить дверь 1ps думать радость 3ps скоро открывать.дверь сейчас скоро радость сердцебиение
тогда как	какой-то	<dact> дальше <dact>
заиграть первый луч солнце а друг уже у река	солнце уже река заигрывать луч друг первый река друг	утро солнце друг уже рядом река
я весь устраивать я быть интересно учиться и скоро я уже сам начало выполнять даже сложный заказ	заказ я я устраивать начало сам выполнять сложный я я в	1ps спокойный2 1ps был интересный учиться и время clf clf.время clf.идет 1ps уже сам2 получать даже сложный 3ps заказывать 1ps
мы отдыхать	мы посещать	мы отдых
нигде	молчико	<dact>
почему	переставать	почему
он уметь кататься на лыжа	он кататься лыжа уметь	3ps знать лыжи
я не понимать то ли она плакать то ли смеяться	понимать она то смеяться плакать то я	1ps видеть не понимать 3ps плакать или смеяться
в общий немного эмоционально получаться	немного общий получаться эмоционально	результат эмоция давать
сегодня мы разбирать ещ один опасный ситуация связанный с дыхание	опасный один связанный дыхание мы ситуация разбирать сегодня еще	сегодня объяснять ещё <nums> опасность связать дышать
ты я не только разозлить но еще и расстраивать	расстраивать разозлить я еще еще расстраивать ты	2ps н-е только2 злость 1ps и плюс 1ps депрессия
хорошо радоваться тогда и дочь быстро поправляться	радоваться быстро хорошо дочь поправкаться	пусть радоваться влиять 3ps дочь быстро здоровый будет
например в россия быть свой традиция	свой россия быть традиция например	группа пример россия есть свой традиция
мочь быть и я вы помогать	мочь быть помогать вы я	мочь быть говорить 1ps помощь
сейчас мочь даже слышно в микрофон	мочь слышно микрофон сейчас я	мочь быть немного слышать микрофон
кролик увидеть в цветок фея	кролик увидеть цветок фея	кролик что цветок и <dact>
он долго плыть и замечать вдали берег	он берег давать плыть замечать долго	долго clf clf.плыть clf.на clf.бочка замечать видеть indx clf clf.берег
жаль что я туда вс равно не попадать	равно попадать я жаль весь	жалость 1ps тоже indx попадать невозможный
не весь похоже понимать как это делать для себя а не для другой	похоже другой весь понимать себя это делать	себе делать похоже все не понимать как 1ps для 3ps делать
он отравляться	он отравляться	яд
