Russian	Predicted	Truth
а когда дед мороз вернуться домой маленький дед мороз приходить к главный и сказать а я то вон в лес тоже подарок раздавать	когда2 дед.мороз приходить домой маленький clf clf.перемест	indx дед.мороз clf clf.группа clf.переместить домой clf clf.группа clf.переместить дед.мороз маленький встретить приходить обращение главный 1ps был лес подарок clf clf.перечислять
а мачеха лишать я весь радость	а мама второй все радость давать 1ps ноль	мама второй 3ps все радость давать 1ps ноль
зачем я хотеть изменять свой привычка тратить и начинать копить	зачем желание изменение привычка тратить все4 желание именение	зачем желание изменение все4 привычка тратить все4 желание именение привычка свой изменение тратить и копить думать
оказываться впервые это появляться в америка	америка есть 3ps первый прогресс	америка есть poss 3ps 3ps рассказ 1ps интересный америка первый прогресс
я вчера не стирать белье	1ps вчера стирать	1ps вчера стирать <dact> не был
она один за другой скидывать с себя туфля и прямо в один чулок подходить к дверь и у я от радость заколотиться сердце	девочка 3ps скидывать 1ps одежда3 прямо clf clf.человек clf 	обувь2 убирать чулок бродить дверь 1ps думать радость 3ps скоро открывать.дверь сейчас скоро радость сердцебиение
тогда как	<dact> дальше <dact>	<dact> дальше <dact>
заиграть первый луч солнце а друг уже у река	заиграть первый луч солнце друг уже рядом река	утро солнце друг уже рядом река
я весь устраивать я быть интересно учиться и скоро я уже сам начало выполнять даже сложный заказ	все 1ps pl все 1ps учить2 1ps все4 1ps уже clf clf.больш	1ps спокойный2 1ps был интересный учиться и время clf clf.время clf.идет 1ps уже сам2 получать даже сложный 3ps заказывать 1ps
мы отдыхать	мы отдых	мы отдых
нигде	где	<dact>
почему	почему	почему
он уметь кататься на лыжа	о-н знать кататься	3ps знать лыжи
я не понимать то ли она плакать то ли смеяться	1ps не понимать н-о школа плакать есть похоже смеяться	1ps видеть не понимать 3ps плакать или смеяться
в общий немного эмоционально получаться	результат эмоция давать	результат эмоция давать
сегодня мы разбирать ещ один опасный ситуация связанный с дыхание	сегодня объяснять ещё <nums> опасность связать дышать	сегодня объяснять ещё <nums> опасность связать дышать
ты я не только разозлить но еще и расстраивать	2ps еще не только разозлить новый и расстраивать	2ps н-е только2 злость 1ps и плюс 1ps депрессия
хорошо радоваться тогда и дочь быстро поправляться	хорошо радоваться тоже дочь быстрый поправляться	пусть радоваться влиять 3ps дочь быстро здоровый будет
например в россия быть свой традиция	пример россия есть свой традиция	группа пример россия есть свой традиция
мочь быть и я вы помогать	мочь быть говорить 1ps помощь	мочь быть говорить 1ps помощь
сейчас мочь даже слышно в микрофон	мочь быть немного слышать микрофон	мочь быть немного слышать микрофон
кролик увидеть в цветок фея	кролик видеть цветок фея	кролик что цветок и <dact>
он долго плыть и замечать вдали берег	долго clf clf.плыть clf.на clf.бочка замечать виде	долго clf clf.плыть clf.на clf.бочка замечать видеть indx clf clf.берег
жаль что я туда вс равно не попадать	жалость 1ps тоже indx попадать невозможный	жалость 1ps тоже indx попадать невозможный
не весь похоже понимать как это делать для себя а не для другой	все не понимать как это делать	себе делать похоже все не понимать как 1ps для 3ps делать
он отравляться	3ps отравиться	яд
много гриб собирать мальчик в лесной часто	много гриб собирать2 лес	много гриб собирать2 лес
без видео плохо но ладно я вы рассказывать сам история про англия	видео2 плохой 1ps 2ps рассказывать 2ps англия <dact>	видео2 indx плохой 1ps 2ps 1ps рассказывать 2ps англия indx <dact>
он замечательно п к печение любой форма например в вид зв здочка лочек	3ps идеальный печь печенье вкус любой это уметь форма звезда ель раз	это 3ps идеальный печь печенье <dact> вкус любой это 3ps уметь форма звезда ель разный pl
это глагол прилагательное	<dact> <dact>	<dact> <dact>
