знать что везде глухой человек :pl принимать	Я знаю, что среди глухих людей
знать что рядом глухой человек :pl принимать	Я знаю, что среди глухих людей
замечать видеть везде есть indx глухой россия вот :pl indx :pl indx	Посмотрите, по россии много глухих, которым есть чем поделиться.
очень много везде	У нас их очень много.
3ps: приглашать :1ps вместе2 работа 3ps: приглашать :3ps поехать смотреть <unk> везде обучать	Приглашайте, работайте вместе, отправляйтесь смотреть как они обучают.
3ps: приглашать :1ps вместе2 работа 3ps: приглашать :3ps поехать смотреть <unk> рядом обучать	Приглашайте, работайте вместе, отправляйтесь смотреть как они обучают.
вокруг мотивация2 жить не.иметь	Тогда внутренней радости и мотивации нет.
вдоль clf:станок.стоять <unk> clf:станок.форма.длинный	Вдоль стоит станок
впереди clf:станок.стоять <unk> clf:станок.форма.длинный	Впереди стоит станок
напротив clf:станок.стоять <unk> clf:станок.форма.длинный	Напротив стоит станок
ниже clf:станок.стоять <unk> clf:станок.форма.длинный	Ниже стоит станок
рядом clf:станок.стоять <unk> clf:станок.форма.длинный	Рядом стоит станок
сверху clf:станок.стоять <unk> clf:станок.форма.длинный	Сверху стоит станок
сзади clf:станок.стоять <unk> clf:станок.форма.длинный	Сзади стоит станок
строчка слово точно смысл везде необходимость откуда уже	Нужно искать точную формулировку и смысл.
девочка правильно вдоль тоже	Девочка правильно двигалась вдоль.
девочка правильно вниз тоже	Девочка правильно двигалась вниз.
девочка правильно назад тоже	Девочка правильно двигалась назад.
обратно :pl ниже ниже	Верните слайд, еще ниже.
обратно :pl сверху сверху	Верните слайд, еще сверху.
внутри проблема проблема что дети2 живот <unk> мочь рассказывать	Внутри это проблемы, например, у детей болят животы, вы их решили, а дальше можете рассказывать.
сейчас pos s1ps пора уходить река вниз место	Нам уже пора идти к ручью.
сейчас pos s1ps пора уходить река впереди место	Нам уже пора идти к ручью.
сейчас pos s1ps пора уходить река напротив место	Нам уже пора идти к ручью.
сейчас pos s1ps пора уходить река ниже место	Нам уже пора идти к ручью.
сейчас pos s1ps пора уходить река сверху место	Нам уже пора идти к ручью.
когда они уже место река вниз лев сын мама обращение спрашивать мочь indx плавание	Когди они пришли к реке, львенок спросил у мамы: "мама, можно я искупаюсь?"
когда они уже место река напротив лев сын мама обращение спрашивать мочь indx плавание	Когди они пришли к реке, львенок спросил у мамы: "мама, можно я искупаюсь?"
когда они уже место река ниже лев сын мама обращение спрашивать мочь indx плавание	Когди они пришли к реке, львенок спросил у мамы: "мама, можно я искупаюсь?"
когда они уже место река сверху лев сын мама обращение спрашивать мочь indx плавание	Когди они пришли к реке, львенок спросил у мамы: "мама, можно я искупаюсь?"
и indx москва indx жизнь метро напротив метро <unk>	Я живу в москве, напротив со станцией метро достоевская
