Russian	Predicted	Truth
а когда дед мороз вернуться домой маленький дед мороз приходить к главный и сказать а я то вон в лес тоже подарок раздавать	когда2 indx дед.мороз маленький clf clf.переместить приходить	indx дед.мороз clf clf.группа clf.переместить домой clf clf.группа clf.переместить дед.мороз маленький встретить приходить обращение главный 1ps был лес подарок clf clf.перечислять
а мачеха лишать я весь радость	мама второй 3ps все радость давать 1ps хорошо	мама второй 3ps все радость давать 1ps ноль
зачем я хотеть изменять свой привычка тратить и начинать копить	зачем желание изменение привычка тратить все4 желание именение	зачем желание изменение все4 привычка тратить все4 желание именение привычка свой изменение тратить и копить думать
оказываться впервые это появляться в америка	америка есть 3ps рассказ 1ps интересный америка первый прогресс	америка есть poss 3ps 3ps рассказ 1ps интересный америка первый прогресс
я вчера не стирать белье	1ps вчера стирать белье	1ps вчера стирать <dact> не был
она один за другой скидывать с себя туфля и прямо в один чулок подходить к дверь и у я от радость заколотиться сердце	1ps чулок бродить чулок бродить дверь 1ps думать радость серд	обувь2 убирать чулок бродить дверь 1ps думать радость 3ps скоро открывать.дверь сейчас скоро радость сердцебиение
тогда как	<dact> дальше <dact>	<dact> дальше <dact>
заиграть первый луч солнце а друг уже у река	солнце друг уже рядом река	утро солнце друг уже рядом река
я весь устраивать я быть интересно учиться и скоро я уже сам начало выполнять даже сложный заказ	1ps все 1ps делать интересный и скоро 1ps уже готовый выполнять заказpl	1ps спокойный2 1ps был интересный учиться и время clf clf.время clf.идет 1ps уже сам2 получать даже сложный 3ps заказывать 1ps
мы отдыхать	мы отдых	мы отдых
нигде	нигде	<dact>
почему	почему	почему
он уметь кататься на лыжа	3ps знать лыжи	3ps знать лыжи
я не понимать то ли она плакать то ли смеяться	1ps не понимать н-е плакать тоже смеяться2	1ps видеть не понимать 3ps плакать или смеяться
в общий немного эмоционально получаться	результат эмоция давать	результат эмоция давать
сегодня мы разбирать ещ один опасный ситуация связанный с дыхание	сегодня объяснять ещё <nums> опасность связать дышать	сегодня объяснять ещё <nums> опасность связать дышать
ты я не только разозлить но еще и расстраивать	2ps терпеть не только разный2 и расстраивать	2ps н-е только2 злость 1ps и плюс 1ps депрессия
хорошо радоваться тогда и дочь быстро поправляться	хорошо радоваться и дочь быстрый поправляться	пусть радоваться влиять 3ps дочь быстро здоровый будет
например в россия быть свой традиция	пример россия есть традиция <dact>	группа пример россия есть свой традиция
мочь быть и я вы помогать	мочь быть говорить 1ps помощь	мочь быть говорить 1ps помощь
сейчас мочь даже слышно в микрофон	сейчас мочь быть немного слышать микрофон	мочь быть немного слышать микрофон
кролик увидеть в цветок фея	кролик clf clf.смотреть цветок <dact>	кролик что цветок и <dact>
он долго плыть и замечать вдали берег	долго clf clf.плыть clf.на clf.бочка замечать виде	долго clf clf.плыть clf.на clf.бочка замечать видеть indx clf clf.берег
жаль что я туда вс равно не попадать	жалость 1ps тоже indx невозможный	жалость 1ps тоже indx попадать невозможный
не весь похоже понимать как это делать для себя а не для другой	похоже делать похоже для 1ps себе делать зачем	себе делать похоже все не понимать как 1ps для 3ps делать
он отравляться	3ps еда не.был	яд
много гриб собирать мальчик в лесной часто	много гриб собирать2 indx лес	много гриб собирать2 лес
без видео плохо но ладно я вы рассказывать сам история про англия	видео2 плохой 1ps 2ps рассказывать 2ps англия indx <dact>	видео2 indx плохой 1ps 2ps 1ps рассказывать 2ps англия indx <dact>
он замечательно п к печение любой форма например в вид зв здочка лочек	3ps идеальный печь печенье печенье <dact> вкус любой форма звезда ель раз	это 3ps идеальный печь печенье <dact> вкус любой это 3ps уметь форма звезда ель разный pl
это глагол прилагательное	<dact> <dact>	<dact> <dact>
к себя он приглашать я бояться но однажды он напрашиваться ко я на чай и увидеть мой условие жизнь предлагать пожениться и переезжать к он	1ps себя дом страшный приглашать н-о вдруг о-н	1ps себя дом страшный 1ps приглашать 3ps н-о вдруг о-н 3ps обратиться 1ps imp чай пить о-н 3ps видеть 1ps poss 1ps условие2 все жизнь видеть imp жениться и переезд к 3ps
и вы обязательно нужно давать ответ рассказывать	и 2ps обязанность нужда ответpl	2ps pl обязательно нужда ответ pl рассказ pl ответ pl
когда мы отжимать волос вода на они оставаться	н-о 1ps жать вода clf clf.вода clf.на clf 	н-о 1ps жать вода clf clf.вода clf.на clf.волосах что необходимость вода оставаться indx есть
хотеть продолжать тема созависимость пренебрежение себя	привет	привет
пищевой волокно связывать большой количество вода в кишечник превращать е в гель который затрудянуть усвоение углевод что сказываться на снижение уровень колебание сахар в кровь	волокна это связать большой <dact> вода clf clf.пищеварение clf	еда волокна успех связь3 только2 больше жидкий вода кишечник успех изменять <dact> и успех <dact> indx конец и успех 3ps давать 1ps уменьшать2 уровень колебание кровь
в строчка выбирать вариант или	строчка связать <nums> ответ	строчка связать <nums> 2ps выбрать <nums> ответ
когда появляться проблема нужно быстро придумывать как они решать	проблема2 indx indx быстрый решать	проблема2 появляться быстро решать что придумывать быстро решать
потом я становиться искать какой-нибудь конкурс и наш л один который проводить среди слышать проводиться он два или три день в общий сложность	1ps искать 1ps 1ps говорить соревнование indx все включено говорить соревнование	1ps искать соревнование indx говорить соревнование 1ps все включено это все включено говорить соревнование <nums> день <nums> день <nums> факт2 indx дактилировать
у я быть я крутой у я быть связь	1ps мочь круто 1ps связь2 есть	1ps мочь круто 1ps связь2 есть
я тоже хотеть ходить на бал	1ps тоже желание приходить бал	1ps тоже желание посещать pl clf clf.пышная clf.юбка танцевать <dact>
мы знать это животное по мультфильм оно выглядеть так мило что мы и не думать о то что оно опасный а оно опасный	знать это животное clf clf.пушистая clf.мордочка мил	знать вы животное2 мультфильм2 интересный clf clf.милая clf.пушистая clf.мордочка милый 3ps думать неопасный н-о 3ps опасный есть
наш организация существовать с го год	poss 1ps организация существовать <nums> год	это poss 1ps pl организация существовать уже <nums> год
видеть по-разному	видеть разный	видеть разный
второй шаг	второй шаг <dact>	второй шаг <dact>
что вообще мочь сделать мы счастливый легко и быстро	как вообще что мочь мы делать счастье очень легко2 быстро2 быстро2	как вообще что влиять на 1ps мочь мы делать счастье очень легко2 быстро2
подруга рассказывать о свой проблема я тоже поделиться свой	друг 3ps рассказывать 2ps проблема2 1ps тоже 1ps рассказывать 3ps делить	друг 3ps рассказывать 1ps собственность проблема2 3ps рассказывать 1ps 1ps тоже 1ps рассказывать 3ps делить
хорошо	хорошо	хорошо
немного зима посмотреть и лето быть	немного зима смотреть лето был	немного зима смотреть2 лето есть
хитрый	хитрый	хитрый
номер три это животное который называться древолаз	<dact> это животное <dact> назвать <dact>	еще есть животное2 назвать <dact>
а человек видеть мир по-разному	а человекpl видеть различный	а человек pl видеть различный
в год в павловск построить ленинградский восстановительный центр	<nums> год <nums> год павловск <dact> стройка clf ленинград восстанавливать центр	смотреть <nums> год <nums> год павловск <dact> indx стройка clf ленинград восстанавливать центр
мой бабушка не любить гулять ночь	poss бабушка2 не.любить гулять ночь	poss 1ps бабушка2 не.любить гулять ночь
нет так нет ну и ладно	нет2 так нет2	нет2 так нет2 н-у
такой человек называть элита	новый все человекpl назвать <dact>	новый все человек pl назвать <dact>
сейчас я видеть весь больше и больше небольшой команда который пытаться что-то делать как-то развиваться	сейчас 1ps видеть больше маленький3 команда и-п сам2 достигать	сейчас всё 1ps видеть больше маленький3 команда и-п сам2 достигать так развивать
ребенок весь понимать	все понимать2.наизусть	все дети понимать2.наизусть
няня весь собирать и выбрасывать а мальчик давать новый белый с блестящий мех	няня все собирать2 и выбрасывать мальчик это новый белый clf	няня2 ладно собирать2 выбросить2 мальчик давать новый белый мех блестящий
для кто-то нужно утяжеление для кто-то чтобы быть разглаживание	и кто тяжелый clf clf.волосы clf.гладкие clf	<dact> кто тяжелый clf clf.волосы clf.тяжелые <dact> кто clf clf.волосы clf.гладкие clf clf.волосы clf.лежат clf clf.волосы что был
начальник говорить мы же готовый он взять у мы быть такой рабочий место но по факт человек с инвалидность никогда не пойд т на это место	начальник говорить мы готовый принять такой место у 1ps есть приглашать но	начальник говорить мы готовый принять такой место у 1ps есть приглашать но п-о факт2 никогда это место инвалид вступить.не
ты должный позвонить мама а то она будет беспокоиться	2ps должен мама 3ps звонить.по.телефону 3ps волнение будет	2ps должен мама 1ps звонить.по.телефону 3ps 3ps волнение будет
я сидеть в свой комната учиться не пойти но жить на что-то надо быть	1ps сидеть собственный комната учиться нет нужно деньги жизнь	всегда2 сидеть комната учиться нет нужно деньги жизнь
я обращаться и в другой место например в вога и там я тоже оформлять письмо поддержка такой образ уже они у я быть несколько	1ps обратиться другой место пример 1ps северный.полюс 1ps тоже оформлять письм	другой pl посещаемость надеяться indx и 1ps тоже <dact> 1ps обращаться <dact> тоже indx 3ps поддерживать 1ps печать 1ps повезло clf clf.складывать clf.письма clf.вместе уже
я не нравиться яркий одежда	1ps яркий светлый одежда2 не нравиться	1ps яркий светлый одежда2 не нравиться
глупый	глупый	дурак
сейчас для наш человек это возможность действительно заниматься любимый дело	сейчас для 1ps человек это возможность действительно любить дело	сейчас мы человек pl это возможность действительно работа любить работа
если педагог видеть что он разговаривать хорошо и весь понимать то он без проблема идти в отделение и учиться год	если разговаривать2 хорошо понимать всегда2 разговаривать2 хорошо	если смотреть ребенок разговаривать2 хорошо понимать все <nums> подразделение год <nums> учить2 не
потом домой приходить и мама просить еще урок проводить	потом домой приходить мама просить еще урок проводить	домой мама еще считать3 уроки
например двое мой ребенок говорить на жестовый язык	дополнение пример poss 1ps дети <nums> говорить на жестовом языке	дополнение пример poss 1ps дети <nums> глухой не говорить на жестовом языке
почему у мы в россия это не популярный	почему у 1ps россия популярный нет2 почему	1ps россия популярный нет2 почему
журналист просто бер т этот новость и публиковать на сайт с красивый картинка	3ps взять публиковать отправлять.файл красивый картина	1ps взять публиковать 1ps отправлять 3ps <dact> красивый картина
я жить в краснодарский край	1ps жить кавказ место краснодар	1ps жить кавказ место краснодар территория
нужно изучать основа чтобы иметь общий пердставление о они чтобы экскурсовод мочь об этоя рассказывать	основной2 нужда изучать что общий был общий <dact> clf clf.рас	основной2 нужда изучать что общий получать воображение 3ps pl рассказ indx будет экскурсия человек экскурсия человек
я вы совсем не знать но я кажется готовый смотреть в ваш глаз вечность	1ps совсем не знать н-о 1ps совсем не знать н-	дорогой девочка знакомый не 1ps 2ps совсем не знать н-о 1ps казаться 1ps poss 2ps глаз pl готовый зрительный.контакт вечность
а этот мужчина быть сантехник который чинить прорыв канализация и который обливать дерьмо тома давать он халат муж и разрешать подождать пока он привозить чистый вещь	а мужчина2 это сантехник сантехник сантехник сантехник clf.облило	а мужчина2 это кто сантехник <dact> сантехник 1ps исправлять 3ps туалет канализация clf clf.облило clf.из clf.канализации грязь туалет <dact> для халат муж и зафиксировать пока приносить чистый poss 3ps одежда3
скоро быть праздник	скоро будет праздник	скоро будет праздник
