есть тоже люди кто желание рано вставать2 что мочь2 все <unk> не мочь потому что человек регулярно 1ps: затягивать2 :3ps prtcl сидеть поздно успех что надеяться indx вина знать poss :3ps indx карьера успех успех нет общий вина indx	Или, например, человек хочет рано вставать, чтобы все успевать, но не может, потому что друзья его затягивают и вынуждают сидеть допоздна; получается, что виноваты они, но это не так.
<unk> мальчик indx сегодня покупать мясо	Он сегодня купил мясо.
<unk> мальчик indx навсегда покупать мясо	Он навсегда купил мясо.
<unk> мальчик indx "временный, пока" покупать мясо	Он "временный, пока" купил мясо.
<unk> мальчик indx ежедневно покупать мясо	Он ежедневно купил мясо.
<unk> мальчик indx затем покупать мясо	Он затем купил мясо.
<unk> мальчик indx иногда покупать мясо	Он иногда купил мясо.
<unk> мальчик indx поздно покупать мясо	Он поздно купил мясо.
<unk> мальчик indx скоро покупать мясо	Он скоро купил мясо.
<unk> мальчик indx сразу покупать мясо	Он сразу купил мясо.
<unk> мальчик indx часто покупать мясо	Он часто купил мясо.
<unk> мальчик indx после покупать мясо	Он после купил мясо.
<unk> мальчик indx постоянно покупать мясо	Он постоянно купил мясо.
<unk> мальчик indx ранее покупать мясо	Он ранее купил мясо.
<unk> мальчик indx рано покупать мясо	Он рано купил мясо.
<unk> мальчик indx раньше покупать мясо	Он раньше купил мясо.
<unk> мальчик indx регулярно покупать мясо	Он регулярно купил мясо.
<unk> мальчик indx сразу же покупать мясо	Он сразу же купил мясо.
indx сегодня стирать <unk> не был	Я сегодня не стирала белье.
indx навсегда стирать <unk> не был	Я навсегда не стирала белье.
indx "временный, пока" стирать <unk> не был	Я "временный, пока" не стирала белье.
indx ежедневно стирать <unk> не был	Я ежедневно не стирала белье.
indx затем стирать <unk> не был	Я затем не стирала белье.
indx иногда стирать <unk> не был	Я иногда не стирала белье.
indx поздно стирать <unk> не был	Я поздно не стирала белье.
indx скоро стирать <unk> не был	Я скоро не стирала белье.
indx сразу стирать <unk> не был	Я сразу не стирала белье.
indx часто стирать <unk> не был	Я часто не стирала белье.
indx после стирать <unk> не был	Я после не стирала белье.
indx постоянно стирать <unk> не был	Я постоянно не стирала белье.
indx ранее стирать <unk> не был	Я ранее не стирала белье.
indx рано стирать <unk> не был	Я рано не стирала белье.
indx раньше стирать <unk> не был	Я раньше не стирала белье.
indx регулярно стирать <unk> не был	Я регулярно не стирала белье.
indx сразу же стирать <unk> не был	Я сразу же не стирала белье.
да indx сегодня indx был	Я сегодня там был.
да indx навсегда indx был	Я навсегда там был.
да indx "временный, пока" indx был	Я "временный, пока" там был.
да indx ежедневно indx был	Я ежедневно там был.
да indx затем indx был	Я затем там был.
