Russian	Predicted	Truth
а когда дед мороз вернуться домой маленький дед мороз приходить к главный и сказать а я то вон в лес тоже подарок раздавать	когда и а а а вон я тоже вернуться	indx дед.мороз clf clf.группа clf.переместить домой clf clf.группа clf.переместить дед.мороз маленький встретить приходить обращение главный 1ps был лес подарок clf clf.перечислять
а мачеха лишать я весь радость	радость лишать я а весь я матче	мама второй 3ps все радость давать 1ps ноль
зачем я хотеть изменять свой привычка тратить и начинать копить	хотеть тратить я и изменять свой привычка начинать зачем	зачем желание изменение все4 привычка тратить все4 желание именение привычка свой изменение тратить и копить думать
оказываться впервые это появляться в америка	появляться оказываться это впервые америка в	америка есть poss 3ps 3ps рассказ 1ps интересный америка первый прогресс
я вчера не стирать белье	стирать я вчера не белье	1ps вчера стирать <dact> не был
она один за другой скидывать с себя туфля и прямо в один чулок подходить к дверь и у я от радость заколотиться сердце	я и и и и в себя закалываться я от	обувь2 убирать чулок бродить дверь 1ps думать радость 3ps скоро открывать.дверь сейчас скоро радость сердцебиение
тогда как	тогда как тогда как	<dact> дальше <dact>
заиграть первый луч солнце а друг уже у река	первый уже а река луч солнце друг у заигрывать река	утро солнце друг уже рядом река
я весь устраивать я быть интересно учиться и скоро я уже сам начало выполнять даже сложный заказ	быстро я я уже просто я начинать выполнять сложный учиться	1ps спокойный2 1ps был интересный учиться и время clf clf.время clf.идет 1ps уже сам2 получать даже сложный 3ps заказывать 1ps
мы отдыхать	мы отдыхеть	мы отдых
нигде	нигде где	<dact>
почему	почему почему	почему
он уметь кататься на лыжа	на лыжа он уметь кататься	3ps знать лыжи
я не понимать то ли она плакать то ли смеяться	понимать я то не смеяться ли она ли плакать ли	1ps видеть не понимать 3ps плакать или смеяться
в общий немного эмоционально получаться	общий в эмоционально получаться немного	результат эмоция давать
сегодня мы разбирать ещ один опасный ситуация связанный с дыхание	дыхание сегодня разбирать связывать еще опасный ситуация один с мы	сегодня объяснять ещё <nums> опасность связать дышать
ты я не только разозлить но еще и расстраивать	разозлить но расстраивать не я еще и только я раз	2ps н-е только2 злость 1ps и плюс 1ps депрессия
хорошо радоваться тогда и дочь быстро поправляться	быстро дочь тогда радоваться хорошо и поправка и дочь	пусть радоваться влиять 3ps дочь быстро здоровый будет
например в россия быть свой традиция	быть традиция свой например россия в	группа пример россия есть свой традиция
мочь быть и я вы помогать	я помогать быть и мочь вы	мочь быть говорить 1ps помощь
сейчас мочь даже слышно в микрофон	даже в слышно мочь сейчас микрофон яже	мочь быть немного слышать микрофон
кролик увидеть в цветок фея	увидеть в цветок кролик фея	кролик что цветок и <dact>
он долго плыть и замечать вдали берег	он берег плыть и замечать долго подавать	долго clf clf.плыть clf.на clf.бочка замечать видеть indx clf clf.берег
жаль что я туда вс равно не попадать	попадать туда я жаль что я вс равный не	жалость 1ps тоже indx попадать невозможный
не весь похоже понимать как это делать для себя а не для другой	делать для похоже другой как не для не для себя понимать	себе делать похоже все не понимать как 1ps для 3ps делать
он отравляться	отравляться он	яд
много гриб собирать мальчик в лесной часто	много часто лесной собирать мальчик в гриб гриб	много гриб собирать2 лес
без видео плохо но ладно я вы рассказывать сам история про англия	я плохо но история про сам нормально вы рассказывать без я про но	видео2 indx плохой 1ps 2ps 1ps рассказывать 2ps англия indx <dact>
он замечательно п к печение любой форма например в вид зв здочка лочек	форма вид в любой например замечательно к он здрочка печение лочка	это 3ps идеальный печь печенье <dact> вкус любой это 3ps уметь форма звезда ель разный pl
это глагол прилагательное	прилагательный этот глагол	<dact> <dact>
к себя он приглашать я бояться но однажды он напрашиваться ко я на чай и увидеть мой условие жизнь предлагать пожениться и переезжать к он	напрашиваться я предлагать он и к он и пожениться к он	1ps себя дом страшный 1ps приглашать 3ps н-о вдруг о-н 3ps обратиться 1ps imp чай пить о-н 3ps видеть 1ps poss 1ps условие2 все жизнь видеть imp жениться и переезд к 3ps
и вы обязательно нужно давать ответ рассказывать	давать и рассказывать нужно обязательно ответ вы	2ps pl обязательно нужда ответ pl рассказ pl ответ pl
когда мы отжимать волос вода на они оставаться	оставаться когда отжимать вода на они мы волос	н-о 1ps жать вода clf clf.вода clf.на clf.волосах что необходимость вода оставаться indx есть
хотеть продолжать тема созависимость пренебрежение себя	продолжать себя сонезависимость хотеть тема пренебрежение себя	привет
пищевой волокно связывать большой количество вода в кишечник превращать е в гель который затрудянуть усвоение углевод что сказываться на снижение уровень колебание сахар в кровь	е превращать в колебание большой в волокно гель превраща	еда волокна успех связь3 только2 больше жидкий вода кишечник успех изменять <dact> и успех <dact> indx конец и успех 3ps давать 1ps уменьшать2 уровень колебание кровь
в строчка выбирать вариант или	строчка выбирать вариант в или	строчка связать <nums> 2ps выбрать <nums> ответ
когда появляться проблема нужно быстро придумывать как они решать	быстро решать придумывать появляться как проблема когда нужно они решать	проблема2 появляться быстро решать что придумывать быстро решать
