ВОКРУГ
думать ?5 много надеяться что собственный счастливый:не успех не мочь вина люди вокруг окружение	Многие люди считают, что в их собственных несчастьях виновато их окружение.
здесь понимать что indx вокруг жить	Нужно понимать, что жизнь идет.
никогда2 сдаваться нет будет учиться до окончание получать диплом будет любой работа мочь карьера наравне слышащий глухой мочь вокруг	Никогда не сдавайтесь, учитесь до конца, получайте диплом , и будете продвигаться на любой работе наравне со слышащими.
вокруг мочь аплодисменты	Все сможете!
indx не знать indx спрашивать  лошадь clf:полосатый <unk> clf:скакать вокруг мочь <unk> знать	"я не знаю, ты спроси зебру, она скачет по всей округе и может знать"
знать что вокруг глухой человек :pl принимать	Я знаю, что среди глухих людей
если для2 вы  называть глухой экскурсия проводить недоумение привычка нет называть почему вокруг привычка экскурсия должен был слышащий человек	Наверное, для вас понятие "глухой экскурсовод" непонятно и совсем не привычно, потому что все привыкли, что экскурсоводом должен быть слышащий человек.
<unk> мы глухой вокруг потому.что новый направление это новый  будет indx	Для нас, глухих, это была такая новость, такое новое направление для будущего.
почему потому.что новый специальность каждый :pl вокруг пробовать себя проводить	Это новая профессия, и каждый хотел попробовать себя.
пример в парк <unk> indx рассказ о выращивать растение назвать <unk> цветок <unk> весь рассказ проводить перевод indx рассказ вокруг проводить и	Напрмер, в парке может рассказывать о растениях, в ботаническом саду, водить везде и рассказывать обо всем.
успех думать университет indx смотреть вокруг семья родной indx много родители учиться все преподавание indx	Получается, я думал, куда же пойти, посмотрел вокруг: в семье, родственники, родители, многие училились на педагогов.
так indx замечать вокруг много молодой и школа думать indx куда поступать брать.пример.с друг prtcl родители 3ps: заставлять2 :1ps	Я вижу, что вокруг много молодых людей, школьников, которые не думают, куда поступить, а думают, куда пошли их друзья или куда направят их родители.
ничего3 каждый вокруг есть разнообразие3 дверь :pl clf:дергать.дверь.за.ручку нет2 prtcl следующий2 открывать.дверь мочь направление	Для всех двери открыты, если одна дверь закрыта, то есть другая, которая откроется для вас.
замечать видеть вокруг есть indx глухой россия вот :pl indx :pl indx	Посмотрите, по россии много глухих, которым есть чем поделиться.
смотреть вокруг clf:группа.уменьшилась 210 финал2 10 clf:группа а	Смотрите, всего там 210 команд в финале.
мнение вокруг 53 тысяча проект заявка :pl бросать :pl больше выбор :pl больше clf:группа.сокращаться 210 indx	Представляете, всего было подано 53 тысячи заявок проектов, ы выбрали из них 210.
indx держать.крестики вокруг верить надежда <unk> poss :1ps оказывать.поддержку проект prtcl если	Я держу кулачки, и все вокруг верят и поддерживают наш проект.
когда2 необходимость вокруг использовать жестовый.язык3 <unk> для4 ребенок	Когда нужно начинать использовать жестовый язык для ребенка?
результат все дети2 родной вокруг 1 использовать жестовый язык <unk> чистый	Вообще, все дети, у кого родной язык жестовый, использует чисто ржя.
жестовый язык поменять <unk> русский язык у:poss :1ps дети2 <unk> вокруг родной взять давать	При помощи педагогов дети смогли бы перейти с жестового языка на русский.
вокруг начать преподавание разговаривать2 <unk> какой язык	Педагоги разговаривают на каком языке?
смотреть2 дом вокруг родной не.было готовый к <unk> indx знать <unk> множественный слово :pl русский родной сам2 дактилировать сам2 беседовать никогда	Дома родители не готовили бы к детскому саду
должен быть родной вокруг отдавать.всего.себя clf:два.направления 2 язык говорить на жестовом языке и дактилировать prtcl калька2	Родители должны отдать все силы чтобы развивать 2 направления  жестовый язык и дактилирование.
что если <unk> poss :1ps россия площадь <unk> школа вокруг знать ребенок глухой семья глухой говорить на жестовом языке <unk> переезд школа <unk> привычка обучать2 жестовый язык поменять грамотность poss :3ps русский язык	Если бы у нас в школах россии знали, что глухой ребенок из семьи глухих свободно говорит на жестовом языке и его учили бы переходу с жестового языка на русский,то в школе бы привыкли обучать на жестовом и у ребенка был бы грамотный русский язык.
успех вокруг родной prtcl	Получается что все родители не знают что делать.
indx есть вокруг внимательный был не.был программа разделение2 4 <unk> классификация :pl 2 3 4	Обращали ли вы внимание на программу или нет, но он разделяется на 4 варианта: 1, 2, 3, 4.
почему вокруг не мочь добиваться специальность школа давать	Почему все не могут добиться чтобы им дали специализированные школы?
вокруг не.знать2 <unk> это делать	Они не знают как это делать.
вокруг новый еще думать не иметь <unk> не иметь условие <unk> обучать тоже специальность не иметь условие <unk> <unk> готовый	Подумайте снова, если нет запросов, то нет и специального готового обучения для них.
<unk> если indx должен 1ps: требовать :3ps уже будет государство деньги отдельный деньги отдельный человек :pl вокруг искать будет деньги получать зарплата это переводчик учить2 поступить институт	После того, как вы потребуете, государство будет выделять деньги людям, они будут получать зарплату, переводчики поступят в институт и смогут там учиться.
кто вокруг желание должен желание желанный делать	Кто хочет и у кого есть желание, делайте.
вокруг согласный poss :2ps дети2 разум отстать вокруг согласный	Вы согласны что ваши дети умственно отсталые?
<unk> вокруг слышащий поэтому indx <unk>	Для всех слышащих это 2 язык.
indx не мочь тоже 100 процент тоже вокруг	Они не могут на 100 процентов его знать.
поэтому вокруг надеяться улучшать clf:человек переводчик	Поэтому мы считаем будет лучше учиться детям рядом с переводчиком.
вокруг хотеть indx пробовать обратиться <unk> <unk> indx	Если вы хотите, то попросите у елены ашурковой.
слышащий вокруг это не понимать	Слышащие этого не понимают.
вокруг расти россия indx думать знать indx школа выпускать clf:человек должен знать какой	Все росли в россии и знают что если человек выпустился со школы, то какой язык он должен знать?
поэтому и если вокруг родной сейчас indx смотреть да да poss :1ps ребенок недоставать русский язык indx indx сейчас ждать2 не.нужно	Поэтому если вы, родители, смотрите сейчас на ребенка и понимаете что он недостаточно знает русский язык, то не нужно ждать.
поэтому вокруг сейчас смотреть indx пробовать добиваться	Поэтому смотрите и пробуйте добиваться.
и тоже вокруг кто <unk> перевод написать не иметь	У вас в ипра тоже не прописан перевод.
вокруг есть право давать перевод	Вы имеете право на перевод.
вокруг не.нужно clf:держать.в.руках не иметь prtcl	Не нужно молчать когда вам не поставили перевод.
должен добиваться вокруг родной indx единственный человек :pl clf:человек.два защищать собственность ребенок indx требовать	Вы, родители, должны добиваться сами и требовать, потому что вы единственные люди которые могут защитить своего ребенка.
ждать2 когда2 другой вокруг <unk> indx не.нужно	Не нужно ждать когда кто-то это сделает за вас.
поэтому вокруг взять <unk> себя рука :pl	Поэтому возьмите себя в руки.
вокруг должен смотреть <unk> собственность дети2	Все должны смотреть на пример ваших детей.
через вокруг собственность добиваться :pl включать говорить clf:человек:приходить и факт больше исчезать 40 <unk> уже	Только через вас, когда вы будете шевелиться, говорить об этом, постоянно приводить переводчика и уже как факт показывать, что 40 часов уже закончились.
глухой вокруг смотреть	Нас глухих не видно.
и если indx желание был сильный вокруг необходимость включать к indx говорить	Если мы хотим быть сильными, то нужно идти к слышащим.
indx знать россия вокруг кто обучать <unk> калька2 это брак	Все в россии знают что когда учат только на ржя, то калька упускается.
очень много вокруг	У нас их очень много.
<unk> говорить с год:1 необходимость просматривать обучать2 русский и жестовый язык язык <unk> родной вокруг сам2	Вы говорите с года нужно учить русскому и жестовому языку, но родители сами его не знают.
к жалко множественный <unk> не мочь полностью передавать все информация русский язык вокруг одинаковый2 одинаковый2	К сожалению, многие тоже не могут передать всю информацию на русском языке.
indx грамотность indx мочь показывать собственность совет <unk> вокруг родной смотреть откуда больше сложный prtcl	Если вы грамотный человек, то покажите и дайте совет всем родителям в каких-то сложных ситуациях.
indx думать и indx <unk> вокруг родной мочь сообщество учить2 обучать русский язык	Они задумаются и тогда для всего сообщества родителей можно будет преподавать русский язык.
что почему необходимость начинать с родной indx и вокруг сам2 тоже <unk> учить2 русский язык	Нужно начинать с родителей и чтобы вы сами тоже учили русский язык.
у :3ps преподавание вокруг есть печать способ <unk> обучать дети2 и внутри список не иметь жестовый язык <unk>	У преподавателей есть стандартный способ обучения детей, но в фгос жестового языка нет.
вокруг проиграть	Вы проиграете.
все начинать с вокруг сам2 indx пробовать связь3 доказывать собирать2 <unk> о дети2	Все начинается с вас самих, пробуйте связываться и доказывать, собирайте данные о детях.
поэтому вокруг собирать2 факт :pl	Поэтому собирайте факты.
3ps: приглашать :1ps вместе2 работа 3ps: приглашать :3ps поехать смотреть <unk> вокруг обучать	Приглашайте, работайте вместе, отправляйтесь смотреть как они обучают.
у :1ps множественный вокруг исследование о.чем жестовый.язык2 <unk> собственность :pl о.чем жест	У нас много исследований о жестовом языке: о разных диалектах, жестах и так далее.
потому что только2 вокруг мочь изменять	Потому что только мы можем это изменить.
вокруг глухой сам2 смотреть проблема2 слышащий вокруг это не знать	Мы, глухие, сами видим проблемы, а все слышащие не знают этого.
ребенок отстать поэтому вокруг смотреть какой дети2 какой родной и аккуратный беседовать с <unk> <unk> вокруг мочь отдаляться очень сильный <unk> слышащий родной	Ребенок может отставать, поэтому смотрите какие дети, какие родители и общайтесь аккуратно с ними, иначе мы можем очень сильно отдалиться от слышащих родителей.
например вокруг желание еда	Например, все хотят кушать.
вокруг уже знать	Мы уже знаем.
простой вокруг знать какой дорога есть новый цель2 путь2 indx не.знать2	Просто мы знаем какой путь есть к этой цели, но бывают новые о пути к которому мы не знаем.
1 <unk> это вокруг начинать думать indx <unk> добиваться это indx prtcl	На первом этапе мы начинаем думать о том, как добиться цели.
indx вокруг начинать серьезно думать	Мы начинаем серьезно задумываться.
prtcl или лучший выбросить что сохранять вокруг вокруг есть	Либо лучше оставить эту цель и сохранить то, что мы имеем на 3 этапе.
правильно ерунда цель2 :pl поэтому вокруг уже знать indx поэтому <unk> общение не	Если мы говорим о примитивных целях, то мы знаем ....
если назад плечо есть человек :pl вокруг облегчать продолжать вперед шаг :pl	Если у вас за спиной есть люди, вам будет дальше легче двигаться вперед.
сейчас вокруг <unk> множественный indx город и сейчас вокруг единственный одинаковый одинаковый2 жизнь	Сейчас во многих городах одинаковая и однообразная жизнь.
это вокруг привычка что школа глухой группа :pl	Мы все привыкли к одной школе, ходить группами.
<unk> забывать что вокруг действительно indx желание проходить indx удобный	Однако не забывайте, что мы свои желания не учитываем, мы идем туда, где комфортно.
а менять это вокруг поменять смелость повернуть поэтому prtcl мочь учить2 пойти.другим.направлением другой странный профессия специальность поэтому indx глухой не иметь	Взамен этого нужно попробовать быть смелее и пойти учиться по другой профессии, где нет глухих.
ВНИЗ
indx семья страшный prtcl indx папа жизнь вниз <unk> черный игнорировать2 семья общаться <unk> говорить indx говорить2 :3ps глухой игнорировать2 темный то.да.се слепой и	"у меня вот такая история страшная: мой глухой отец работал в шахте со слышащими, а он не мог с ними общаться, т.к. внизу очень темно; его просто игнорировали.
и плюс вниз еда перебиваться.кое-как древний год еда совсем.ничего.нет хлеб indx еда однообразно терпеть clf:кусать.еду думать мысль <unk> вкусный2 clf:намазать.сверху <unk> indx вкусный2 что indx <unk> clf:что-то.лежит.сверху prtcl другой жизнь направление нет2	Вдобавок к этому, кушать особо было нечего: каждый раз один и тот же хлеб; едим и представляем на нем вкусный сыр или джем, ведь другого выхода не было...".
ВНУТРИ
внутри мотивация2 жить не.иметь	Тогда внутренней радости и мотивации нет.
вопрос кто включать мир2 глухой внутри	Вопрос: "кто входит в сообщество глухих?"
мочь.бэл 3ps: взять :1ps внутри	Меня приняли и я выдохнула с облегчением.
внутри включать слышащий толпа 1	Меня включили в группу вместе со слышащими.
вопрос время сейчас мир2 глухой внутри clf:вокруг дружный связать как	Вопрос: "насколько современное сообщество глухих является связанным внутри?"
пример связать внутри слабый нет2 prtcl 9 связать крепкий мир 9	Например, 1 - связь внутри слабая, почти нету, а 9 - полностью связанно.
традиция indx интересный мир глухой внутри свой традиция есть если	Мне интересно, есть ли в сообществе глухих свои традиции.
относиться жест русский жестовый.язык2 <unk> внутри как	Как мир слышащих относится к русскому жестовому языку?
мир глухой внутри мир говорить мир говорить смотреть мир глухой внутри как indx все хорошо плохо	Как мир слышащих принимает мир глухих: плохо или хорошо?
