Russian	Predicted	Truth
а когда дед мороз вернуться домой маленький дед мороз приходить к главный и сказать а я то вон в лес тоже подарок раздавать	дед.мороз clf clf.группа clf.группа clf.переместить дом	indx дед.мороз clf clf.группа clf.переместить домой clf clf.группа clf.переместить дед.мороз маленький встретить приходить обращение главный 1ps был лес подарок clf clf.перечислять
а мачеха лишать я весь радость	мама второй лишать 1ps радость	мама второй 3ps все радость давать 1ps ноль
зачем я хотеть изменять свой привычка тратить и начинать копить	зачем желание изменение привычка тратить все4 желание именение	зачем желание изменение все4 привычка тратить все4 желание именение привычка свой изменение тратить и копить думать
оказываться впервые это появляться в америка	америка первый прогресс	америка есть poss 3ps 3ps рассказ 1ps интересный америка первый прогресс
я вчера не стирать белье	1ps вчера стирать <dact>	1ps вчера стирать <dact> не был
она один за другой скидывать с себя туфля и прямо в один чулок подходить к дверь и у я от радость заколотиться сердце	дверь чулок бродить дверь 1ps думать скоро радость скоро скоро скоро рад	обувь2 убирать чулок бродить дверь 1ps думать радость 3ps скоро открывать.дверь сейчас скоро радость сердцебиение
тогда как	<dact>	<dact> дальше <dact>
заиграть первый луч солнце а друг уже у река	заигрывать солнце друг уже рядом река	утро солнце друг уже рядом река
я весь устраивать я быть интересно учиться и скоро я уже сам начало выполнять даже сложный заказ	1ps все делать 1ps интересный учиться и скоро готовый выполнять уже готов	1ps спокойный2 1ps был интересный учиться и время clf clf.время clf.идет 1ps уже сам2 получать даже сложный 3ps заказывать 1ps
мы отдыхать	мы отдых	мы отдых
нигде	нигде	<dact>
почему	почему	почему
он уметь кататься на лыжа	о-н мальчик 3ps знать лыжи	3ps знать лыжи
я не понимать то ли она плакать то ли смеяться	1ps не понимать н-о 3ps плакать плакать	1ps видеть не понимать 3ps плакать или смеяться
в общий немного эмоционально получаться	результат эмоция давать	результат эмоция давать
сегодня мы разбирать ещ один опасный ситуация связанный с дыхание	сегодня объяснять ещё <nums> опасность связать дышать	сегодня объяснять ещё <nums> опасность связать дышать
ты я не только разозлить но еще и расстраивать	2ps 2ps н-е только разозлить желание и расстраивать	2ps н-е только2 злость 1ps и плюс 1ps депрессия
хорошо радоваться тогда и дочь быстро поправляться	хорошо радость и дочь быстрый поправляться	пусть радоваться влиять 3ps дочь быстро здоровый будет
